episode,avg_waiting_time,final_waiting_time,avg_queue_length,avg_speed,steps
139,21295.12,29573.0,77.91,1.8435,720
140,47386.37,122016.0,95.22,1.5351,720
141,34573.46,29033.0,89.11,1.7324,720
142,56414.77,29113.0,79.67,1.4391,720
143,31068.75,7000.0,83.08,1.7425,720
144,25284.77,95155.0,80.83,1.7856,720
145,35306.95,6889.0,81.0,1.9257,720
146,17247.09,36150.0,78.11,1.458,720
147,49115.58,61922.0,91.48,1.4104,720
148,22360.89,33120.0,82.62,1.445,720
149,23692.03,40225.0,83.57,1.698,720
150,41875.39,81152.0,84.64,1.6452,720
151,29338.13,58311.0,88.88,1.6012,720
152,24312.1,37631.0,82.28,1.1888,720
153,22045.62,13987.0,71.36,1.8965,720
154,38697.19,9989.0,92.23,1.1368,720
155,32414.21,78184.0,80.21,1.8929,720
156,15075.63,34253.0,66.43,2.0639,720
157,61312.9,13899.0,87.68,1.6742,720
158,21150.09,15909.0,79.77,1.6464,720
159,42048.24,79870.0,84.46,1.7967,720
160,56894.41,120906.0,87.77,1.627,720
161,47927.95,85301.0,84.14,1.8167,720
162,33573.61,37971.0,82.22,1.7381,720
163,16683.21,47682.0,77.97,1.8736,720
164,37507.76,64419.0,90.82,1.5716,720
165,27661.5,69115.0,76.38,1.8413,720
166,22035.43,9171.0,74.71,1.9543,720
167,35634.72,11308.0,83.24,1.8117,720
168,25095.63,17060.0,83.81,1.8167,720
169,22217.33,12693.0,83.33,1.7715,720
170,28287.24,68490.0,85.21,1.5173,720
171,38750.17,93558.0,83.64,1.7577,720
172,7627.68,23453.0,54.58,2.1326,720
173,48351.72,16627.0,77.95,1.8192,720
174,12097.4,12770.0,67.18,1.846,720
175,22733.87,15931.0,81.26,1.8076,720
176,48007.78,17637.0,78.51,1.9002,720
177,55294.95,22546.0,88.31,1.4852,720
178,20443.8,19340.0,69.68,1.8274,720
179,15645.03,49103.0,67.64,1.6764,720
180,32674.98,14905.0,79.37,1.9078,720
181,58490.62,112082.0,82.7,1.8286,720
182,53885.02,36963.0,79.07,1.9111,720
183,20807.2,36835.0,79.79,1.7656,720
184,38134.48,108544.0,77.08,1.8625,720
185,29638.8,44535.0,85.17,1.7201,720
186,16565.28,20485.0,80.74,1.5855,720
187,37012.12,42618.0,74.79,2.0847,720
188,31827.37,32405.0,75.59,1.7968,720
189,19557.43,29737.0,73.56,2.138,720
190,54090.64,99659.0,76.3,1.9516,720
191,48679.64,5642.0,82.84,1.8297,720
192,38791.54,69545.0,75.67,1.9368,720
193,43685.74,123005.0,78.17,1.8963,720
194,41781.49,34094.0,74.95,1.9783,720
195,27223.89,33020.0,73.24,1.9776,720
196,36528.41,51328.0,81.55,1.8457,720
197,14908.32,33985.0,67.25,2.071,720
198,35716.2,129717.0,72.81,1.9431,720
199,34043.84,41231.0,79.18,1.9057,720
200,54199.53,164258.0,72.63,2.0848,720
