episode,avg_waiting_time,final_waiting_time,avg_queue_length,avg_speed,steps
145,2545.49,729.0,26.86,3.9598,720
146,3518.55,3898.0,36.28,3.428,720
147,3174.82,6572.0,27.4,4.2383,720
148,1486.53,1884.0,25.26,4.0483,720
149,3097.73,857.0,29.91,3.9751,720
150,905.74,1760.0,20.1,4.7283,720
151,2039.8,291.0,25.85,4.1628,720
152,1200.69,1635.0,21.87,4.4971,720
153,3054.51,1675.0,29.88,3.8446,720
154,1673.29,489.0,22.74,4.5357,720
155,4490.74,5037.0,34.91,3.6281,720
156,1121.07,380.0,21.47,4.5791,720
157,2520.62,4905.0,25.39,4.2476,720
158,967.41,1383.0,21.68,4.4481,720
159,2345.3,5841.0,27.32,4.0559,720
160,4219.97,1547.0,38.88,3.162,720
161,1395.91,2136.0,21.55,4.631,720
162,1749.25,13199.0,22.61,4.2454,720
163,3296.68,1338.0,28.81,3.7696,720
164,1839.31,1076.0,24.7,4.2737,720
165,747.38,147.0,20.93,4.4007,720
166,957.83,251.0,18.91,4.8741,720
167,1455.42,524.0,23.88,4.2974,720
168,1584.61,4364.0,23.16,4.6256,720
169,1534.4,333.0,23.93,4.4133,720
170,861.31,400.0,19.31,4.9045,720
171,2306.91,732.0,25.4,4.2032,720
172,873.01,3602.0,20.3,4.6318,720
173,1226.96,503.0,20.88,4.5708,720
174,1091.0,1037.0,21.05,4.5267,720
175,1373.88,2448.0,24.25,4.2448,720
176,1439.61,504.0,21.49,4.5867,720
177,966.78,3030.0,22.15,4.3386,720
178,4283.66,765.0,30.92,3.7305,720
179,1662.67,280.0,23.46,4.2618,720
180,651.77,1578.0,19.22,4.6478,720
181,1940.03,1416.0,24.42,4.2147,720
182,908.36,685.0,19.67,4.7,720
183,1244.76,366.0,21.51,4.5825,720
184,1413.78,6180.0,24.72,4.1984,720
185,7181.28,23487.0,36.51,3.4798,720
186,1205.92,901.0,21.11,4.6782,720
187,1011.09,344.0,20.5,4.6288,720
188,1323.54,6286.0,18.69,5.012,720
189,954.3,2799.0,20.27,4.6421,720
190,1864.24,6214.0,24.57,4.393,720
191,1478.95,318.0,22.52,4.4626,720
192,1506.4,1541.0,22.46,4.55,720
193,1580.76,483.0,23.06,4.469,720
194,1258.71,3660.0,19.99,4.9037,720
195,1438.67,1789.0,26.13,4.2394,720
196,1943.7,603.0,25.21,4.271,720
197,2829.77,6678.0,27.71,4.1406,720
198,903.37,896.0,21.01,4.7374,720
199,1870.56,1060.0,23.06,4.6295,720
200,2370.15,337.0,25.7,4.3841,720
