model,episode,step,waiting_time,queue_length,mean_speed
Random,1,149,382.0,31,2.4576829126997315
Random,1,150,560.0,38,1.0633459816115167
Random,1,151,769.0,43,1.5118272637284635
Random,1,152,984.0,43,1.5742237497960578
Random,1,153,952.0,38,1.0952423642461633
Random,1,154,771.0,33,2.7419304932751425
Random,1,155,597.0,23,3.092652790610788
Random,1,156,384.0,21,3.218489937176925
Random,1,157,309.0,17,2.552904167543968
Random,1,158,348.0,16,4.216253550636331
Random,1,159,391.0,14,5.437317980969472
Random,1,160,206.0,11,4.380508918078784
Random,1,161,198.0,14,4.429847081042592
Random,1,162,115.0,20,3.686109261430539
Random,1,163,235.0,28,2.617378663036553
Random,1,164,342.0,29,2.260689750941041
Random,1,165,507.0,37,3.0213797894651724
Random,1,166,589.0,37,3.6047915107694086
Random,1,167,779.0,38,3.0657182181641454
Random,1,168,975.0,40,2.5843137485576455
Random,1,169,911.0,34,2.034869468662541
Random,1,170,659.0,25,3.064196850453446
Random,1,171,479.0,19,3.5771421753506334
Random,1,172,257.0,17,3.4893068492853785
Random,1,173,182.0,21,3.0755620135426516
Random,1,174,302.0,27,2.251088233952608
Random,1,175,460.0,35,1.5705161760045587
Random,1,176,666.0,44,1.1041867239625038
Random,1,177,902.0,49,0.7486660438463664
Random,1,178,905.0,44,0.9140895816607971
Random,1,179,1058.0,40,1.9927228033109385
Random,1,180,1258.0,40,3.836545699765323
Random,1,181,1164.0,34,3.4098515685724196
Random,1,182,861.0,28,3.324941315383687
Random,1,183,642.0,22,4.872936687834233
Random,1,184,276.0,12,4.936812196264263
Random,1,185,177.0,14,4.472962532959559
Random,1,186,264.0,20,2.755944702915636
Random,1,187,305.0,23,2.884512454018615
Random,1,188,306.0,19,4.201701740125591
Random,1,189,339.0,21,3.842619376758217
Random,1,190,407.0,24,2.7482712747236633
Random,1,191,499.0,25,1.7055052146974063
Random,1,192,412.0,28,1.336697574143303
Random,1,193,511.0,31,2.364564436846659
Random,1,194,452.0,37,3.2800272658803697
Random,1,195,657.0,43,3.021104874296312
Random,1,196,873.0,44,2.3281015248024053
Random,1,197,1098.0,45,1.5373361804997356
Random,1,198,1213.0,39,1.2408630936752991
Random,1,199,1393.0,38,2.2695414940632817
Random,1,200,1583.0,38,2.4781701782823236
Random,1,201,1415.0,33,3.847619446197797
Random,1,202,1010.0,24,4.774067177256033
Random,1,203,694.0,18,3.984463538925913
Random,1,204,326.0,19,3.4354009071727227
Random,1,205,106.0,14,3.0878245584837423
Random,1,206,115.0,11,3.4103666122465706
Random,1,207,148.0,10,4.7606816372892045
Random,1,208,188.0,11,4.900777751611475
Random,1,209,261.0,18,4.345538851386868
Random,1,210,365.0,23,2.382923620574337
Random,1,211,504.0,31,2.263455197269135
Random,1,212,563.0,30,1.5296647192257513
Random,1,213,568.0,31,2.777684392870149
Random,1,214,303.0,25,2.893751443736529
Random,1,215,202.0,17,3.068231672535408
Random,1,216,246.0,22,3.792865872220972
Random,1,217,386.0,33,2.3523269788584296
Random,1,218,451.0,38,1.1894489190178124
Random,1,219,475.0,37,2.1344279169780505
Random,1,220,349.0,32,2.8463568730181965
Random,1,221,381.0,27,3.082577875260102
Random,1,222,402.0,27,1.8900943164342476
Random,1,223,470.0,24,3.307854254881742
Random,1,224,551.0,25,3.1815287638272625
Random,1,225,666.0,31,1.472857357365272
Random,1,226,540.0,33,1.20634269743787
Random,1,227,378.0,30,2.075741331848286
Random,1,228,420.0,34,2.536341057934287
Random,1,229,441.0,35,2.3816933149026194
Random,1,230,249.0,31,3.5086789854616223
Random,1,231,244.0,26,3.424838469051237
Random,1,232,195.0,23,3.183480318519536
Random,1,233,197.0,25,2.753075037201931
Random,1,234,326.0,33,2.0103173855919305
Random,1,235,529.0,44,1.7026231615492975
Random,1,236,712.0,45,1.4991611195769166
Random,1,237,880.0,40,3.0168937700928273
Random,1,238,1083.0,42,2.7199060651004388
Random,1,239,1305.0,47,1.9096391796407808
Random,1,240,1493.0,43,1.57303015494625
Random,1,241,1686.0,41,2.353415485472201
Random,1,242,1891.0,41,2.8245202528558133
Random,1,243,1988.0,39,2.5835840022507055
Random,1,244,2183.0,39,2.706669199421076
Random,1,245,2378.0,39,2.8063114906370785
Random,1,246,2573.0,39,2.2265519578672177
Random,1,247,2268.0,38,1.9007228407690568
Random,1,248,1636.0,30,2.8390416002180587
Random,1,249,1054.0,21,4.132184694758582
Random,1,250,468.0,18,3.2854866301202765
Random,1,251,211.0,15,2.693851752289519
Random,1,252,235.0,14,4.658528787314435
Random,1,253,80.0,6,4.514000310907239
Random,1,254,123.0,13,4.01282562686986
Random,1,255,201.0,18,3.9958110950505334
Random,1,256,222.0,22,2.1423695109543117
Random,1,257,367.0,31,1.2352223886137228
Random,1,258,546.0,39,0.7315979495816681
Random,1,259,763.0,46,1.9897790007376537
Random,1,260,993.0,46,1.8221484567002402
Random,1,261,1229.0,48,1.0381183763716793
Random,1,262,1469.0,48,1.1768941665027906
Random,1,263,1709.0,48,1.0707273094727445
Random,1,264,1646.0,44,1.7242664132878869
Random,1,265,1735.0,38,2.501090860547668
Random,1,266,1926.0,39,3.299990047717679
Random,1,267,2136.0,44,1.9753061963963296
Random,1,268,2306.0,39,1.409160682376226
Random,1,269,2508.0,42,2.0003407887998637
Random,1,270,2219.0,37,2.2780938811051787
Random,1,271,1594.0,29,3.385129969268892
Random,1,272,1033.0,19,3.5092776998976682
Random,1,273,364.0,15,4.5211613461963465
Random,1,274,155.0,20,4.024498668855695
Random,1,275,273.0,27,1.703323091651793
Random,1,276,318.0,33,1.404990092963955
Random,1,277,492.0,39,2.2338050805813716
Random,1,278,688.0,42,2.514441545035282
Random,1,279,903.0,43,1.7605151325580806
Random,1,280,1118.0,43,1.3654708150215127
Random,1,281,1075.0,39,2.0065562391687313
Random,1,282,841.0,29,3.2049686772335537
Random,1,283,636.0,26,3.368193520877934
Random,1,284,477.0,26,2.0037321605025373
Random,1,285,215.0,22,2.044993909752827
Random,1,286,323.0,28,2.8867141110656664
Random,1,287,366.0,29,2.47985974361695
Random,1,288,371.0,28,4.441673558445231
Random,1,289,380.0,26,3.981324747928306
Random,1,290,420.0,28,2.406731161503954
Random,1,291,209.0,24,2.074617350817187
