episode,avg_waiting_time,final_waiting_time,avg_queue_length,avg_speed,steps
1,9574.43,9827.0,54.48,2.0833,720
2,35151.04,9053.0,47.39,2.888,720
3,5079.37,837.0,29.02,3.8743,720
4,240.62,113.0,16.35,4.9513,720
5,288.5,343.0,20.89,3.7568,720
